Date,Open,High,Low,Close,Volume
2016-06-09 13:17,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:18,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:19,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:20,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:21,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:22,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:23,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:24,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:25,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:26,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:27,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:28,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:29,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:30,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:31,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:32,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:33,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:34,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:35,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:36,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:37,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:38,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:39,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:40,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:41,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:42,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:43,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:44,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:45,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:46,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:47,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:48,7.420000,7.42,7.42,7.420000,2775660
2016-06-09 13:49,7.420000,7.42,7.42,7.420000,2775660
